title,body,lecture_number,section_number,section_name,user_id,course_id
Who is Ruby?,"<p><a href=""https://www.ruby-lang.org/en/"" target=""_blank"" rel=""noopener"">https://www.ruby-lang.org/en/</a></p>
 
 <p><a href=""https://en.wikipedia.org/wiki/Ruby_(programming_language)"" target=""_blank"" rel=""noopener"">https://en.wikipedia.org/wiki/Ruby_(programming_language)</a></p>",2,1,Section 1 - The Set Up,1,1
Windows Setup,"<p><a href=""http://www.7-zip.org/"" target=""_blank"" rel=""noopener"">http://www.7-zip.org/</a></p>
 
 <p><a href=""https://rubyinstaller.org/"" target=""_blank"" rel=""noopener"">https://rubyinstaller.org/</a></p>
 
 <p>&nbsp;</p>",3,1,Section 1 - The Set Up,1,1
Ubuntu Setup,"<h4>In this video we use a Cloud Intergrated Development Environment (IDE) to show how we can set Ruby up on Ubuntu.</h4>
 
 <p><a href=""c9.io"" target=""_blank"" rel=""noopener"">c9.io</a></p>",5,1,Section 1 - The Set Up,1,1
Command Prompt Windows,"<p><a href=""http://cmder.net/"" target=""_blank"" rel=""noopener"">http://cmder.net/</a></p>
 
 <p>&nbsp;</p>",6,1,Section 1 - The Set Up,1,1
The Code Editor,"<p><a href=""https://code.visualstudio.com"" target=""_blank"" rel=""noopener"">https://code.visualstudio.com</a></p>",7,1,Section 1 - The Set Up,1,1
VS Code and Cmder,"<p><a href=""https://code.visualstudio.com/docs/editor/integrated-terminal"">https://code.visualstudio.com/docs/editor/integrated-terminal</a></p>
 
 <h2 style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 0.5rem; font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol'; font-weight: 500; line-height: 1.2; color: #444444; font-size: 1.75rem;"">Visual Studio User Settings</h2>
 
 <p><code>{</code></p>
 
 <p><code>&nbsp; ""files.autoSave"": ""afterDelay"",&nbsp;</code></p>
 
 <p><code>&nbsp; ""editor.tabSize"": 2,</code></p>
 
 <p><code>&nbsp; ""editor.fontSize"": 20,</code></p>
 
 <p><code>&nbsp; ""window.zoomLevel"": 0,</code></p>
 
 <p><code>&nbsp; ""terminal.integrated.shell.windows"": ""C:\\WINDOWS\\System32\\cmd.exe"",</code></p>
 
 <p><code>&nbsp; ""terminal.integrated.shellArgs.windows"": [""/K"", ""C:\\cmder\\vscode.bat""]</code></p>
 
 <p><code>}</code></p>",8,1,Section 1 - The Set Up,1,1
Running In The Cloud/Browser,"<p>Run Ruby in your browser</p>
 
 <p><a href=""https://repl.it/"" target=""_blank"" rel=""noopener"">https://repl.it/</a></p>
 
 <p>&nbsp;</p>",9,1,Section 1 - The Set Up,1,1
Section 2,"<p><strong>Code for this section can be found at...</strong></p>
 
 <p><code><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-2-3-4"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-2-3-4</a></code></p>
 
 <p><code></code><code></code></p>",10,-,Section 2 - Some Of The Basics,1,1
Introduction To The Hub,"<p>setup an account at&nbsp;</p>
 
 <p><a href=""https://github.com/"" target=""_blank"" rel=""noopener"">https://github.com/</a></p>
 
 <p>download git from</p>
 
 <p><a href=""https://git-scm.com/"" target=""_blank"" rel=""noopener"">https://git-scm.com/</a></p>
 
 <p>&nbsp;</p>
 
 <p>&nbsp;</p>",20,-,Section 4 - Welcome to Git,1,1
Orgainize With Git,"<p><a href=""https://ruby-doc.org/core-2.2.0/Method.html"" target=""_blank"" rel=""noopener"">https://ruby-doc.org/core-2.2.0/Method.html</a></p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-5"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-5</a></p>",25,-,Section 5 - It's a String Thing,1,1
Math Operators,"<p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-6"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-6</a></p>",33,-,Section 6 - Ruby Loves Arithmetic,1,1
Substitute Text,"<table class=""highlight tab-size js-file-line-container"" style=""box-sizing: border-box; border-spacing: 0px; border-collapse: collapse; tab-size: 8; color: #24292e; font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Helvetica, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol';"" data-tab-size=""8"">
 
 <tbody style=""box-sizing: border-box;"">
 
 <tr style=""box-sizing: border-box;"">
 
 <td id=""LC1"" class=""blob-code blob-code-inner js-file-line"" style=""box-sizing: border-box; padding: 0px 10px; position: relative; line-height: 20px; vertical-align: top; overflow: visible; font-family: SFMono-Regular, Consolas, 'Liberation Mono', Menlo, Courier, monospace; font-size: 12px; word-wrap: normal; white-space: pre;""><span class=""pl-c"" style=""box-sizing: border-box; color: #6a737d;""><span class=""pl-c"" style=""box-sizing: border-box;"">#</span> <a href=""https://ruby-doc.org/core-2.2.0/String.html#method-i-sub"" target=""_blank"" rel=""noopener"">https://ruby-doc.org/core-2.2.0/String.html#method-i-sub</a></span></td>
 
 </tr>
 
 <tr style=""box-sizing: border-box;"">
 
 <td id=""L2"" class=""blob-num js-line-number"" style=""box-sizing: border-box; padding: 0px 10px; width: 50px; min-width: 50px; font-family: SFMono-Regular, Consolas, 'Liberation Mono', Menlo, Courier, monospace; font-size: 12px; line-height: 20px; color: rgba(27, 31, 35, 0.3); text-align: right; white-space: nowrap; vertical-align: top; cursor: pointer; user-select: none;"" data-line-number=""2"">&nbsp;</td>
 
 <td id=""LC2"" class=""blob-code blob-code-inner js-file-line"" style=""box-sizing: border-box; padding: 0px 10px; position: relative; line-height: 20px; vertical-align: top; overflow: visible; font-family: SFMono-Regular, Consolas, 'Liberation Mono', Menlo, Courier, monospace; font-size: 12px; word-wrap: normal; white-space: pre;"">&nbsp;</td>
 
 </tr>
 
 </tbody>
 
 </table>
 
 <p>&nbsp;</p>",29,-,Section 5 - It's a String Thing,1,1
Order of Operators,"<p><a href=""https://en.wikipedia.org/wiki/Order_of_operations"" target=""_blank"" rel=""noopener"">https://en.wikipedia.org/wiki/Order_of_operations</a></p>",34,-,Section 6 - Ruby Loves Arithmetic,1,1
Set as Decimal,-,35,-,Section 6 - Ruby Loves Arithmetic,1,1
The Method - A Quick Review,"<p>Code for this section can be found at...</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-7"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-7</a></p>",36,-,Section 7 - Ruby Methods,1,1
Math Operators,"<p>Code can be found at ....</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-8"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-8</a></p>",45,-,Section 8 - Ruby Operators,1,1
Convert It,"<p>Code can be found...</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-9"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-9</a></p>",48,-,Section 9 - Getting Input and Interaction,1,1
Arrays,"<p>Code for this section...</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-10"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-10</a></p>",54,-,Section 10 - Arrays,1,1
Define A Ruby Hash,"<p>Code for this section...</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-11"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-11</a></p>",60,-,Section 11 - The Hash,1,1
If Else Mission Impossible App,"<p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-12"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-12</a></p>",64,-,Section 12 - Mission Impossible,1,1
The Unless Condition,"<p>Code...</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-13"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-13</a></p>
 
 <p>&nbsp;</p>",65,-,Section 13 - Conditions and Loops,1,1
IRB Console,"<p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-14"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-14</a></p>",72,-,Section 14 - Ruby Has Class,1,1
Create A File,"<p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-15"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-15</a></p>",80,-,Section 15 - Working With Files,1,1
Rescue,"<p>Code Repo...</p>
 
 <p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-16"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-16</a></p>",84,-,Section 16 - Errors,1,1
Search Array,"<p><a href=""https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-17"" target=""_blank"" rel=""noopener"">https://github.com/schesnowitz/Steves-Ruby-Udemy-Course/tree/master/section-17</a></p>
 
 <p>&nbsp;</p>
 
 <p><code>system 'cls'</code></p>
 
 <p>&nbsp;</p>
 
 <p><code>stuff_array = %w(</code></p>
 
 <p><code>&nbsp; Buffalo</code></p>
 
 <p><code>&nbsp; Miami</code></p>
 
 <p><code>&nbsp; Steve</code></p>
 
 <p><code>&nbsp; airplane</code></p>
 
 <p><code>&nbsp; tuna</code></p>
 
 <p><code>&nbsp; coffee</code></p>
 
 <p><code>&nbsp; cup</code></p>
 
 <p><code>&nbsp; pen</code></p>
 
 <p><code>&nbsp; 123</code></p>
 
 <p><code>&nbsp; 7</code></p>
 
 <p><code>&nbsp; 99</code></p>
 
 <p><code>&nbsp; hello</code></p>
 
 <p><code>)</code></p>
 
 <p><code>p stuff_array.grep('Miami')</code></p>
 
 <p>&nbsp;</p>
 
 <p>&nbsp;</p>
 
 <p><code>def show</code></p>
 
 <p><code>&nbsp; @user = User.find(params[:id])</code></p>
 
 <p><code>end</code></p>",87,-,Section 17 - Search WIth Grep,1,1
